	index	Unnamed: 0	combo	count	is combo	is color combo	is animal	is color	is adjective	adjective	animal	adjective count	animal count	forward tp	backward tp	canonical color	canonical color count	most common non-canonical color	most common non-canonical color count
180	180	80	brown deer	2	True	True	False	False	False	brown	deer	31879.0	7936.0	6.273722513253239e-05	0.00025201612903225806	brown deer	2.0	red deer	103.0
181	181	131	white flamingo	2	True	True	False	False	False	white	flamingo	134712.0	1259.0	1.4846487321099828e-05	0.0015885623510722795	pink flamingo	102.0	black flamingo	3.0
182	182	86	light deer	1	True	True	False	False	False	light	deer	141371.0	7936.0	7.073586520573527e-06	0.00012600806451612903	brown deer	2.0	red deer	103.0
183	183	256	brown llama	1	True	True	False	False	False	brown	llama	31879.0	881.0	3.1368612566266194e-05	0.0011350737797956867	brown llama	1.0	black llama	0.0
184	184	51	white cheetah	1	True	True	False	False	False	white	cheetah	134712.0	1927.0	7.423243660549914e-06	0.0005189413596263622	brown cheetah	0.0	spots cheetah	8.0
185	185	88	yellow deer	1	True	True	False	False	False	yellow	deer	24626.0	7936.0	4.0607488020791034e-05	0.00012600806451612903	brown deer	2.0	red deer	103.0
186	186	352	brown polar_bear	1	True	True	False	False	False	brown	polar_bear	31879.0	2014.0	3.1368612566266194e-05	0.0004965243296921549	white polar_bear	9.0	brown polar_bear	1.0
187	187	411	tan sheep	1	True	True	False	False	False	tan	sheep	7093.0	14547.0	0.00014098406880022558	6.87426960885406e-05	white sheep	43.0	black sheep	866.0
188	188	34	grey boar	1	True	True	False	False	False	grey	boar	26562.0	3173.0	3.7647767487387995e-05	0.0003151591553734636	brown boar	0.0	blue boar	40.0
189	189	344	yellow pigeon	1	True	True	False	False	False	yellow	pigeon	24626.0	8449.0	4.0607488020791034e-05	0.00011835720203574388	grey pigeon	4.0	white pigeon	22.0
